Title,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Updated Years
Dynasty,42,Drama,"Elizabeth Gillies, Grant Show, Rafael de la Fuente, Robert Christopher Riley",7.3,16123,2017
Flack,60,"Comedy, Drama","Anna Paquin, Lydia Wilson, Rebecca Benson, Sophie Okonedo",7.1,3724,2019
The O.C.,44,"Comedy, Drama, Romance","Mischa Barton, Adam Brody, Peter Gallagher, Kelly Rowan",7.5,82800,2003
Big Little Lies,60,"Crime, Drama, Mystery","Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz",8.5,164819,2017
Chicago Med,43,Drama,"Nick Gehlfuss, Brian Tee, Marlyne Barrett, S. Epatha Merkerson",7.6,16783,2015
Glee,44,"Comedy, Drama, Music","Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith",6.7,138844,2009
The Originals,45,"Drama, Fantasy, Horror","Joseph Morgan, Daniel Gillies, Claire Holt, Phoebe Tonkin",8.2,121133,2013
Godfather of Harlem,55,"Crime, Drama","Forest Whitaker, Nigel Thatch, Ilfenesh Hadera, Lucy Fry",8,8161,2019
Gossip Girl,42,"Drama, Romance","Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick",7.4,157721,2007
Broadchurch,48,"Crime, Drama, Mystery","David Tennant, Olivia Colman, Jodie Whittaker, Andrew Buchan",8.4,98982,2013
Black Summer,40,"Action, Drama, Horror","Justin Chu Cary, Jaime King, Christine Lee, Sal Velez Jr.",6.4,20101,2019
The Goldbergs,22,Comedy,"Wendi McLendon-Covey, Sean Giambrone, Troy Gentile, Hayley Orrantia",8.1,32650,2013
The Resident,60,Drama,"Matt Czuchry, Emily VanCamp, Manish Dayal, Bruce Greenwood",7.7,20219,2018
Banshee,60,"Action, Crime, Drama","Antony Starr, Ivana Milicevic, Ulrich Thomsen, Frankie Faison",8.4,90222,2013
The Chosen,54,"Drama, History","Shahar Isaac, Jonathan Roumie, Paras Patel, George Harrison Xanthis",9.7,16611,2017
Daredevil,54,"Action, Crime, Drama","Charlie Cox, ""Vincent DOnofrio"", Deborah Ann Woll, Elden Henson",8.6,371065,2015
The Punisher,53,"Action, Crime, Drama","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",8.5,191555,2017
Smallville,60,"Adventure, Drama, Romance","Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk",7.5,118498,2001
Fringe,46,"Drama, Mystery, Sci-Fi","Anna Torv, Joshua Jackson, John Noble, Jasika Nicole",8.4,224181,2008
Special,15,"Comedy, Drama","""Ryan OConnell"", Jessica Hecht, Punam Patel, Marla Mindelle",7.6,7573,2019
House of Cards,51,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",8.7,473737,2013
Entourage,28,"Comedy, Drama","Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara",8.4,160042,2004
Letterkenny,30,Comedy,"Jared Keeso, Nathan Dales, Michelle Mylett, Andrew Herr",8.6,15406,2016
Cold Case,44,"Crime, Drama, Mystery","Kathryn Morris, Danny Pino, John Finn, Jeremy Ratchford",7.6,24801,2003
13 Reasons Why,60,"Drama, Mystery, Thriller","Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe",7.6,262763,2017
